,Date,Megapiler,Megaball,Estimated Jackpot,W51,W50,W41,W40,W31,W21,W30,W11,W01,Total W,M50,M41,M40,M31,M21,M30,M11,M01,Total Mega Winners,P15,PO5,P41,P40,,P31,P30,P21,P20,P11,,,P01,P10,P00
julie ,12/31/10,4,9,242000000.00,0.00,21.00,173.00,7535.00,9078.00,154323.00,401371.00,918652.00,1670952.00,3161911.00,1.00,8.00,383.00,437.00,8238.00,20927.00,48960.00,87770.00,167000.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.03,0.00,0.02,,,0.05,0.25,0.65
,12/28/10,4,7,200000000.00,0.00,17.00,81.00,3491.00,4172.00,71129.00,177425.00,437219.00,852218.00,1545654.00,3.00,2.00,199.00,240.00,4149.00,9782.00,25713.00,50340.00,90400.00,,,,,,,,,,,,,,,
,12/24/10,4,16,168000000.00,0.00,11.00,77.00,3373.00,3746.00,64839.00,170394.00,394819.00,740221.00,1377392.00,0.00,3.00,200.00,209.00,3563.00,9541.00,21718.00,40187.00,75400.00,,,,,,,,,,,,,,,
,12/21/10,4,29,145000000.00,0.00,10.00,75.00,3136.00,3432.00,55181.00,161531.00,307855.00,539181.00,1070316.00,1.00,9.00,192.00,226.00,3615.00,10196.00,19250.00,32085.00,65600.00,,,,,,,,,,,,,,,
,12/17/10,4,12,123000000.00,0.00,6.00,41.00,2213.00,2644.00,46182.00,117326.00,285406.00,539157.00,992928.00,0.00,1.00,121.00,137.00,2938.00,7336.00,17508.00,33297.00,61300.00,,,,,,,,,,,,,,,
,12/14/10,3,29,104000000.00,0.00,8.00,48.00,2140.00,2248.00,36517.00,105262.00,223165.00,413229.00,782561.00,1.00,6.00,146.00,146.00,2387.00,6669.00,14304.00,26649.00,50300.00,,,,,,,,,,,,,,,
,12/10/10,4,36,88000000.00,0.00,7.00,33.00,1697.00,1803.00,30137.00,83708.00,183176.00,350281.00,650802.00,0.00,2.00,105.00,102.00,1999.00,5368.00,11839.00,23279.00,42700.00,,,,,,,,,,,,,,,
,12/7/10,4,9,74000000.00,0.00,5.00,34.00,1234.00,1464.00,25302.00,64233.00,166913.00,343553.00,602699.00,1.00,0.00,96.00,106.00,1792.00,4426.00,11722.00,24174.00,42300.00,,,,,,,,,,,,,,,
,12/3/10,3,12,62000000.00,0.00,6.00,34.00,1794.00,2066.00,33545.00,90878.00,184900.00,315954.00,629137.00,0.00,3.00,134.00,168.00,2485.00,6674.00,13406.00,22087.00,45000.00,,,,,,,,,,,,,,,
,11/30/10,4,2,52000000.00,0.00,4.00,23.00,1114.00,1435.00,23241.00,64115.00,140880.00,262782.00,493567.00,0.00,0.00,69.00,87.00,1622.00,4434.00,9681.00,18216.00,34100.00,,,,,,,,,,,,,,,
